name,location,rating,votes,cost_for_two,online_order,book_table,rest_type,primary_cuisine,price_range
Kababs N Biryani,Banashankari,3.4,22,200.0,Yes,No,Quick Bites,South Indian,Budget
Udupi Upahar,Banashankari,3.8,58,300.0,Yes,No,Quick Bites,South Indian,Budget
Tandoori Knight,Banashankari,3.0,290,450.0,Yes,No,Quick Bites,North Indian,High-End
Brew Bakes,Jayanagar,3.4,13,550.0,No,No,Cafe,Cafe,High-End
Karavali Fish Center,Banashankari,3.4,10,300.0,No,No,Quick Bites,Mangalorean,Budget
Adiga's,Jayanagar,3.3,55,150.0,No,No,Quick Bites,South Indian,Budget
Bread and Circus,Shanti Nagar,3.7,50,550.0,Yes,No,Cafe,Cafe,High-End
Java City,Jayanagar,2.6,157,450.0,Yes,No,Cafe,Cafe,High-End
Ugadi,Jayanagar,2.9,177,700.0,Yes,No,Casual Dining,North Indian,Luxury
The Pizzeria,Banashankari,2.8,45,800.0,Yes,No,Casual Dining,Pizza,Luxury
Banashankari Donne Biriyani,Banashankari,3.8,104,300.0,Yes,No,Quick Bites,Biryani,Budget
Big Bites,Jayanagar,3.6,21,200.0,No,No,Quick Bites,Chinese,Budget
The Taj Hotel,City Market,3.5,12,350.0,No,No,Quick Bites,Biryani,Medium
Rasoi,Banashankari,3.3,128,300.0,Yes,No,Quick Bites,North Indian,Budget
21 C - La Marvella Sarovar Premiere Hotel,Jayanagar,3.6,15,1000.0,No,No,Casual Dining,Continental,Luxury
Ayda Persian Kitchen,Banashankari,3.7,39,950.0,No,No,Casual Dining,North Indian,Luxury
Vybhava,Jayanagar,3.8,39,250.0,No,No,Quick Bites,South Indian,Budget
Vijaya Sagar,Wilson Garden,3.6,15,300.0,No,No,Quick Bites,South Indian,Budget
Priya Restaurant,Jayanagar,,0,250.0,No,No,Quick Bites,South Indian,Budget
Emerald Green,City Market,,0,600.0,No,No,Casual Dining,South Indian,High-End
Upperdeck,City Market,,0,900.0,No,No,Casual Dining,North Indian,Luxury
Hatti Punjab Di,Jayanagar,,0,600.0,No,No,Casual Dining,North Indian,High-End
As On Fire,South Bangalore,3.5,41,400.0,Yes,No,Food Truck,Pizza,Medium
Sri Krishna Sagar,Banashankari,3.2,119,400.0,Yes,No,Casual Dining,North Indian,Medium
Lassi Stop,Banashankari,3.4,12,150.0,Yes,No,"Beverage Shop, Quick Bites",Beverages,Budget
Sri Yaksha Shiv Sagar,Banashankari,3.6,24,600.0,Yes,No,Casual Dining,North Indian,High-End
Chumma Delicious,Banashankari,3.7,237,200.0,Yes,No,Quick Bites,South Indian,Budget
Khan Saheb Grills and Rolls,Jayanagar,3.9,134,350.0,Yes,No,Quick Bites,Fast Food,Medium
Leon Grill,Jayanagar,4.1,414,500.0,Yes,No,Quick Bites,Burger,High-End
Krishna Sagar,Banashankari,3.5,31,200.0,No,No,Quick Bites,North Indian,Budget
Iyer's Tiffin Centre,Banashankari,3.8,62,150.0,No,No,Quick Bites,South Indian,Budget
Kydz Adda,Banashankari,3.4,6,500.0,No,No,Casual Dining,Continental,High-End
Hotel Anand Vihar,City Market,3.2,12,400.0,No,No,Casual Dining,North Indian,Medium
Hanumanthanagar Biryani Junction,Banashankari,3.5,17,300.0,No,No,Quick Bites,South Indian,Budget
Annapooraneshwari Mess,Banashankari,,0,200.0,No,No,Mess,South Indian,Budget
Kaumudis Juoice,Banashankari,,0,150.0,No,No,"Beverage Shop, Quick Bites",Beverages,Budget
Tejas Bar and Restaurant,Nagarbhavi,,0,800.0,No,No,Casual Dining,Chinese,Luxury
Swadesh Tadka,Banashankari,3.5,179,600.0,Yes,No,Casual Dining,North Indian,High-End
Wahab,Jayanagar,3.7,97,350.0,Yes,No,Quick Bites,North Indian,Medium
Vennela Andhra Meals,Jayanagar,3.0,23,400.0,Yes,No,Quick Bites,Andhra,Medium
SLV Refreshment,Banashankari,4.1,94,100.0,No,No,Quick Bites,South Indian,Budget
Pavithra Restaurant,Jayanagar,3.4,133,300.0,No,No,Quick Bites,South Indian,Budget
K27 - The Pub,Banashankari,3.1,30,1000.0,No,No,Bar,Chinese,Luxury
Kotian Karavali Restaurant,Banashankari,3.5,10,300.0,No,No,Quick Bites,South Indian,Budget
Biryani Paradise,Shanti Nagar,3.4,6,400.0,No,No,Quick Bites,Biryani,Medium
Ande Ka Funda,Banashankari,3.8,120,250.0,Yes,No,Quick Bites,North Indian,Budget
Durga Sagar,Shanti Nagar,3.3,8,150.0,Yes,No,Quick Bites,South Indian,Budget
Ruchi's Corner,Banashankari,2.7,123,200.0,Yes,No,Quick Bites,Fast Food,Budget
Brews N Bites,Jayanagar,2.9,62,650.0,Yes,No,"Quick Bites, Cafe",Chinese,High-End
Anda Ka Funda,Jayanagar,3.4,89,250.0,Yes,No,Quick Bites,North Indian,Budget
Kaggis,Banashankari,3.8,64,250.0,No,No,Quick Bites,Fast Food,Budget
Darbar,Banashankari,3.0,98,800.0,No,No,Bar,North Indian,Luxury
MRS Paradise,Jayanagar,3.4,21,650.0,No,No,Casual Dining,South Indian,High-End
Shree Sagar,Jayanagar,2.8,33,500.0,No,No,Casual Dining,North Indian,High-End
Beijing Bites,Banashankari,2.7,128,850.0,No,No,Casual Dining,Chinese,Luxury
Coffee House,Jayanagar,,0,150.0,No,No,Quick Bites,Beverages,Budget
Juicy Momos,Banashankari,3.5,80,250.0,Yes,No,Quick Bites,Tibetan,Budget
Meat And Eat,Wilson Garden,3.1,4,500.0,Yes,No,Quick Bites,Fast Food,High-End
Rakesh Kumar Pani Poori,Jayanagar,3.6,13,100.0,No,No,Quick Bites,Street Food,Budget
Sangam Military Hotel,Jayanagar,3.2,14,250.0,No,No,Quick Bites,South Indian,Budget
Chatar Patar,Banashankari,3.7,65,300.0,No,No,Quick Bites,Fast Food,Budget
Hotel Sapphire,City Market,,0,300.0,No,No,Quick Bites,North Indian,Budget
Rotti Mane,Banashankari,,0,100.0,No,No,Quick Bites,South Indian,Budget
New Ambur Biryani,Shanti Nagar,,0,350.0,No,No,Quick Bites,Biryani,Medium
Hotel Select,Shanti Nagar,,0,250.0,No,No,Quick Bites,South Indian,Budget
Karnataka Bhel House,Banashankari,,0,150.0,No,No,Quick Bites,Street Food,Budget
Kannadigas Karavali,Banashankari,,0,250.0,No,No,Quick Bites,Mangalorean,Budget
The Coorg Kitchen,Banashankari,,0,400.0,No,No,Quick Bites,South Indian,Medium
Satkar Upahar,Shanti Nagar,,0,100.0,No,No,Quick Bites,South Indian,Budget
Just Bunny,Jayanagar,3.5,11,200.0,Yes,No,Quick Bites,Fast Food,Budget
Aramane Donne Biryani,Banashankari,3.1,28,200.0,Yes,No,Quick Bites,Biryani,Budget
VEGeatz,Banashankari,3.4,19,200.0,Yes,No,Quick Bites,South Indian,Budget
SSV Upahar,Jayanagar,,0,300.0,Yes,No,Quick Bites,South Indian,Budget
Just Shawarma,Banashankari,3.8,66,300.0,Yes,No,Quick Bites,Arabian,Budget
Adithya,Jayanagar,3.7,28,300.0,No,No,Quick Bites,South Indian,Budget
SVKP Daily Fresh,Banashankari,3.3,5,350.0,No,No,Quick Bites,South Indian,Medium
Kidambi's Kitchen,Banashankari,3.5,52,300.0,No,No,Quick Bites,South Indian,Budget
Banashankari Nati Style,Banashankari,,0,350.0,No,No,Quick Bites,Biryani,Medium
Murali Miltary Hotel,Jayanagar,,0,300.0,No,No,Quick Bites,Biryani,Budget
Sea Green Cafe,Banashankari,3.3,4,500.0,No,No,Cafe,Cafe,High-End
Hotel Coronation,City Market,3.3,5,350.0,No,No,Quick Bites,North Indian,Medium
Hotel New Guide,City Market,,0,200.0,No,No,Quick Bites,South Indian,Budget
City Kebab Centre,City Market,,0,300.0,No,No,Quick Bites,Fast Food,Budget
Hotel City Light,City Market,,0,200.0,No,No,Quick Bites,North Indian,Budget
Chandra Prakesh Veg Restaurant,City Market,,0,100.0,No,No,Quick Bites,South Indian,Budget
Hotel Annapurna,City Market,,0,150.0,No,No,Quick Bites,South Indian,Budget
Rasoi Family Restaurant,City Market,,0,300.0,No,No,Quick Bites,North Indian,Budget
New Biryani Mane,Jayanagar,,0,400.0,No,No,Quick Bites,South Indian,Medium
Bengaluru Foodies,Jayanagar,,0,300.0,No,No,Quick Bites,North Indian,Budget
Aliyar Cafe Sweet Palace,Jayanagar,,0,250.0,No,No,Quick Bites,Fast Food,Budget
New Sri Udupi Restaurant,Jayanagar,,0,200.0,No,No,Quick Bites,North Indian,Budget
MM Tiffen Center,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
New Indraprasta,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Sri Raghavendra Prasanna Coffee Beans Club,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Bitez,Banashankari,,0,100.0,No,No,Quick Bites,Fast Food,Budget
Sree Sagar,Banashankari,,0,200.0,Yes,No,Quick Bites,South Indian,Budget
Shawarma Inc,Jayanagar,,0,200.0,Yes,No,Quick Bites,Rolls,Budget
Lama Restaurant,City Market,,0,250.0,No,No,Quick Bites,North Indian,Budget
Sri Balaji Tiffin Centre,Banashankari,,0,300.0,No,No,Quick Bites,South Indian,Budget
360 Atoms Restaurant And Cafe,Banashankari,3.1,13,400.0,Yes,No,Cafe,Cafe,Medium
Shree Balaji Paratha House,Jayanagar,3.0,17,200.0,No,No,Quick Bites,North Indian,Budget
Srinagar Kabab Corner,Banashankari,3.4,10,250.0,No,No,Quick Bites,North Indian,Budget
Sri Venkateshwara Chat Centre,Banashankari,3.5,12,100.0,No,No,Quick Bites,Street Food,Budget
Donne Biryani,Shanti Nagar,3.2,10,200.0,No,No,Quick Bites,Biryani,Budget
Saarangi Express,Jayanagar,3.4,6,250.0,No,No,Quick Bites,Fast Food,Budget
Sri Venkateshwara Vishnu Bhavan,Shanti Nagar,,0,300.0,No,No,Quick Bites,South Indian,Budget
Sri Udupi Veg,Jayanagar,3.3,4,250.0,No,No,Quick Bites,South Indian,Budget
Royal Biryani Center,Jayanagar,,0,200.0,No,No,Quick Bites,Biryani,Budget
Adithya Veg,Jayanagar,3.3,10,300.0,No,No,Quick Bites,South Indian,Budget
Nandi Chats and Juice,Banashankari,3.6,47,150.0,No,No,Quick Bites,Street Food,Budget
Nandishwara Lunch Home,Shanti Nagar,,0,100.0,No,No,Quick Bites,South Indian,Budget
Atithi Point Ande Ka Funda,Banashankari,3.1,29,150.0,No,No,Quick Bites,North Indian,Budget
FOOD ADDA,Banashankari,3.2,4,200.0,No,No,Quick Bites,Fast Food,Budget
Coffee Bytes,Banashankari,3.1,6,100.0,No,No,Quick Bites,Fast Food,Budget
Parjanya Chat Zone,Banashankari,3.3,17,200.0,No,No,Quick Bites,Street Food,Budget
Yo Roll Corner,Banashankari,3.0,27,200.0,No,No,Quick Bites,Street Food,Budget
Sri Lakshmi Kabab Center,Banashankari,3.3,4,200.0,No,No,Quick Bites,Kebab,Budget
Sri Basaveshwar Jolada Rotti Oota,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Shree Udupi South kitchen,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Foodlieious Multi Cuisine,Banashankari,,0,100.0,No,No,Quick Bites,North Indian,Budget
Sri Cafe Hotel,Shanti Nagar,,0,150.0,No,No,Quick Bites,South Indian,Budget
Tasty Bites,Banashankari,3.7,21,150.0,No,No,Quick Bites,Fast Food,Budget
Rustic Treats,Jayanagar,3.3,4,400.0,No,No,"Quick Bites, Cafe",Street Food,Medium
Hotel Renowned,City Market,3.3,5,200.0,No,No,Quick Bites,North Indian,Budget
Al Madina Family Restaurant,City Market,,0,500.0,No,No,Quick Bites,North Indian,High-End
Hotel Kalpaka,City Market,3.4,4,400.0,No,No,Quick Bites,South Indian,Medium
Madeena Restaurant,City Market,,0,300.0,No,No,Quick Bites,North Indian,Budget
New Grand Hotel,City Market,,0,200.0,No,No,Quick Bites,North Indian,Budget
Raams Chicken,Banashankari,3.6,22,300.0,No,No,Quick Bites,Andhra,Budget
Panchami,Banashankari,3.0,15,300.0,No,No,Quick Bites,North Indian,Budget
Poornima Restaurant,Wilson Garden,3.3,29,200.0,No,No,Quick Bites,South Indian,Budget
Canton,Jayanagar,3.6,195,800.0,Yes,No,Casual Dining,Chinese,Luxury
Kavali,Banashankari,4.0,42,300.0,No,No,Quick Bites,South Indian,Budget
Kolkata Restaurant,Jayanagar,3.0,7,300.0,No,No,Quick Bites,Bengali,Budget
People Tree Cafe,Jayanagar,3.7,168,400.0,No,No,Cafe,Cafe,Medium
Chung Wah,Jayanagar,3.7,323,850.0,Yes,No,Casual Dining,Chinese,Luxury
Chinese House,Jayanagar,2.8,19,300.0,Yes,No,Quick Bites,Chinese,Budget
Hotel Empark,Wilson Garden,3.4,16,800.0,Yes,No,Casual Dining,Chinese,Luxury
Davanagere Benne Dosa,Jayanagar,,0,150.0,No,No,Quick Bites,South Indian,Budget
Once Upon a Rooftop,Jayanagar,4.3,1236,1000.0,No,Yes,"Casual Dining, Bar",Pizza,Luxury
Soho Bar & Grill,Basavanagudi,2.7,377,1100.0,No,No,Pub,North Indian,Luxury
Beetle Juice Bar - Springs Hotel & Spa,Basavanagudi,3.7,64,2200.0,No,Yes,Bar,Finger Food,Luxury
Brew Meister,Jayanagar,4.1,970,1500.0,Yes,Yes,"Microbrewery, Casual Dining",North Indian,Luxury
Salut,Jayanagar,4.1,442,1200.0,Yes,Yes,"Pub, Casual Dining",Continental,Luxury
Gustoes Beer House,Banashankari,4.1,868,1200.0,No,No,Pub,Continental,Luxury
Jcubez,Banashankari,3.8,977,1300.0,No,Yes,Lounge,Finger Food,Luxury
The Lounge - Eden Park Restaurants,Jayanagar,3.7,151,1350.0,No,Yes,Lounge,North Indian,Luxury
Blue Wings Bar & Restaurant,Banashankari,3.7,43,700.0,No,No,"Bar, Casual Dining",North Indian,Luxury
Clove Rooftop,Jayanagar,3.8,235,1000.0,No,Yes,Casual Dining,Konkan,Luxury
K27 - The Pub,Banashankari,3.1,30,1000.0,No,No,Bar,Chinese,Luxury
Darbar,Banashankari,3.0,98,800.0,No,No,Bar,North Indian,Luxury
Kava - Fairfield by Marriott,Bellandur,3.9,284,1500.0,No,Yes,Casual Dining,North Indian,Luxury
The Fisherman's Wharf,Sarjapur Road,4.4,4099,1400.0,Yes,Yes,"Casual Dining, Bar",Seafood,Luxury
MoMo Cafe - Courtyard by Marriott,Bellandur,4.2,271,2000.0,No,Yes,Casual Dining,Asian,Luxury
Ruh,Bellandur,4.1,3020,1000.0,Yes,Yes,Casual Dining,North Indian,Luxury
Tipsy Bull - The Bar Exchange,Bellandur,4.4,2182,1400.0,Yes,Yes,"Bar, Casual Dining",North Indian,Luxury
Nook - Aloft Bengaluru Cessna Business Park,Bellandur,4.3,403,1800.0,No,Yes,Casual Dining,North Indian,Luxury
Chaarcoal,Bellandur,4.0,444,1200.0,Yes,No,Casual Dining,North Indian,Luxury
Sharaab Factory,Bellandur,3.9,392,1500.0,Yes,Yes,Bar,Biryani,Luxury
Skylit - Citrus Hotels,Bellandur,3.6,255,1500.0,No,Yes,Lounge,North Indian,Luxury
Punjabi Times,Bellandur,4.1,1691,1100.0,Yes,Yes,"Casual Dining, Bar",North Indian,Luxury
Flavors of India,Bellandur,3.7,37,1500.0,Yes,Yes,Casual Dining,Chinese,Luxury
Monsoon,Bellandur,2.8,11,1000.0,No,No,Food Court,Continental,Luxury
BISO - Citrus Hotels,Bellandur,3.0,120,1000.0,No,No,Casual Dining,North Indian,Luxury
Chef's Gallery,Bellandur,3.5,95,700.0,No,No,Casual Dining,Chinese,Luxury
Palki's,Bellandur,3.0,155,800.0,No,No,Casual Dining,North Indian,Luxury
W XYZ Bar - Aloft Bengaluru Cessna Business Park,Bellandur,3.8,46,2000.0,No,No,"Lounge, Casual Dining",Finger Food,Luxury
The Black Pearl,Marathahalli,4.8,7023,1500.0,No,Yes,"Casual Dining, Bar",North Indian,Luxury
The Fisherman's Wharf,Sarjapur Road,4.4,4099,1400.0,Yes,Yes,"Casual Dining, Bar",Seafood,Luxury
Jalsa Gold,Marathahalli,4.5,3421,1300.0,No,Yes,Casual Dining,North Indian,Luxury
AB's - Absolute Barbecues,Sarjapur Road,4.7,881,1600.0,No,Yes,Casual Dining,European,Luxury
The Hidden Home,Sarjapur Road,4.3,994,1300.0,Yes,Yes,Casual Dining,Asian,Luxury
Barbecoa,Marathahalli,4.3,1303,1000.0,No,No,Casual Dining,North Indian,Luxury
Opus Food Stories,Sarjapur Road,4.7,163,1500.0,No,Yes,"Bar, Casual Dining",Goan,Luxury
Village - The Soul of India,Sarjapur Road,3.9,1225,1100.0,No,No,Casual Dining,North Indian,Luxury
Little Italy,Sarjapur Road,4.3,715,1500.0,Yes,Yes,Casual Dining,Italian,Luxury
Xtreme Sports Bar,Sarjapur Road,4.0,942,1300.0,Yes,Yes,Pub,Continental,Luxury
RRoyal Rajasthan,Sarjapur Road,4.3,754,500.0,Yes,No,Casual Dining,Rajasthani,High-End
Flavours - Octave Hotel & Spa,Sarjapur Road,3.0,197,700.0,No,No,Casual Dining,North Indian,Luxury
The Hub - Ibis Bengaluru,Marathahalli,3.9,237,,No,No,Bar,Finger Food,Medium
Equinox Bar - DoubleTree Suites By Hilton,Sarjapur Road,3.9,52,1900.0,No,Yes,Lounge,Continental,Luxury
Story Time,Bellandur,3.7,15,500.0,No,No,"Cafe, Quick Bites",North Indian,High-End
The Salad Studio,Bellandur,4.0,107,400.0,Yes,No,Cafe,Cafe,Medium
On the Go Cafeteria,Bellandur,,0,200.0,No,No,Takeaway,Fast Food,Budget
Mont Blanc Cafe,Bellandur,3.8,35,650.0,Yes,No,Cafe,Cafe,High-End
Chef Baker's,Bellandur,3.6,136,600.0,Yes,No,"Bakery, Quick Bites",Bakery,High-End
Cafe Jezve,Bellandur,4.0,23,500.0,No,No,Cafe,Cafe,High-End
Starbucks,Bellandur,3.9,38,700.0,No,No,"Cafe, Food Court",Cafe,Luxury
Puro Gusto,Bellandur,3.9,25,400.0,No,No,Cafe,Cafe,Medium
Tata Cha,Bellandur,3.6,34,400.0,Yes,No,"Beverage Shop, Cafe",Tea,Medium
Cafe Coffee Day,Bellandur,3.1,48,900.0,Yes,No,Cafe,Cafe,Luxury
Tea Totallers,Bellandur,2.9,19,500.0,Yes,No,Cafe,Cafe,High-End
Delitz Creamvilla Cafe,Bellandur,4.0,74,600.0,Yes,No,"Cafe, Dessert Parlor",Cafe,High-End
The Brewing Bean,Bellandur,3.7,47,500.0,No,No,Cafe,Cafe,High-End
Cuppa,Bellandur,3.7,33,550.0,No,No,Cafe,Cafe,High-End
Re:fuel- Aloft Bengaluru Cessna Business Park,Bellandur,,0,1000.0,No,No,"Cafe, Bakery",Bakery,Luxury
Costa Coffee,Bellandur,3.0,6,500.0,No,No,Cafe,Cafe,High-End
Cafe Olive,Bellandur,3.8,114,550.0,No,No,Cafe,Cafe,High-End
Cafe Thulp,Bellandur,4.0,341,1000.0,Yes,Yes,Cafe,Cafe,Luxury
Chai Resto,Bellandur,3.6,5,200.0,No,No,Quick Bites,Fast Food,Budget
Stoner,Sarjapur Road,4.3,556,500.0,Yes,No,"Dessert Parlor, Cafe",Ice Cream,High-End
Zoey's,Sarjapur Road,4.3,894,600.0,Yes,No,Cafe,Cafe,High-End
Eating Love,Sarjapur Road,4.3,149,800.0,Yes,No,Cafe,Cafe,Luxury
Light House Cafe,Marathahalli,3.7,94,700.0,Yes,No,Cafe,Cafe,Luxury
Chaai Resto,Sarjapur Road,4.1,33,200.0,Yes,No,Cafe,Cafe,Budget
Imperio Cafe,Whitefield,3.9,22,200.0,No,No,Quick Bites,Cafe,Budget
The Shed,Sarjapur Road,,0,400.0,No,No,Cafe,Cafe,Medium
Biggies Burger 'n' More,Sarjapur Road,,0,650.0,No,No,Quick Bites,Burger,High-End
eat.fit,Bellandur,4.4,632,500.0,Yes,No,Delivery,Healthy Food,High-End
Sher-E-Punjab,Marathahalli,3.4,414,400.0,Yes,No,Quick Bites,North Indian,Medium
Blue Berry Restaurant,Bellandur,3.9,146,650.0,Yes,No,Casual Dining,North Indian,High-End
BOX8- Desi Meals,Bellandur,4.1,166,500.0,Yes,No,"Takeaway, Delivery",North Indian,High-End
FreshMenu,Marathahalli,3.2,113,450.0,Yes,No,Delivery,Healthy Food,High-End
Udupi Ruchi,Bellandur,3.8,240,200.0,Yes,No,Quick Bites,South Indian,Budget
Rangla Punjab,Bellandur,2.9,313,450.0,Yes,No,Quick Bites,North Indian,High-End
Thiruvithamkoor Restaurant,Sarjapur Road,3.3,294,400.0,Yes,No,Quick Bites,Kerala,Medium
The Paratha Company,HSR,4.3,166,400.0,Yes,No,Delivery,North Indian,Medium
nu.tree,Sarjapur Road,4.4,278,400.0,Yes,No,Delivery,North Indian,Medium
Best Of Bengal,Marathahalli,3.8,230,300.0,Yes,No,Quick Bites,Bengali,Budget
Kerala Panoor Restaurant,Bellandur,3.5,137,350.0,Yes,No,Quick Bites,Kerala,Medium
Odians,Marathahalli,3.2,38,500.0,Yes,No,Quick Bites,North Indian,High-End
Pet Full @ 99,Sarjapur Road,3.1,15,200.0,Yes,No,Quick Bites,North Indian,Budget
New Punjabi Dhaba,HSR,3.9,782,300.0,Yes,No,Quick Bites,North Indian,Budget
Punjabi Dawat,Bellandur,2.9,248,400.0,Yes,No,Quick Bites,North Indian,Medium
Burger King,Sarjapur Road,3.8,62,500.0,Yes,No,Quick Bites,Burger,High-End
Kerala Mess Upahar,Bellandur,3.7,123,300.0,Yes,No,Mess,Kerala,Budget
Phulke Ghar Ke,Bellandur,4.0,532,300.0,Yes,No,Quick Bites,North Indian,Budget
XO Belgian Waffle,HSR,4.5,141,400.0,Yes,No,Dessert Parlor,Desserts,Medium
Lassi Corner,Marathahalli,3.8,68,200.0,Yes,No,Quick Bites,Beverages,Budget
Coastal Fish Land,Bellandur,,0,500.0,Yes,No,Casual Dining,Mangalorean,High-End
Bathinda Junction,HSR,4.0,533,600.0,Yes,Yes,Casual Dining,North Indian,High-End
The Meal Story,Sarjapur Road,4.2,258,700.0,Yes,No,Casual Dining,North Indian,Luxury
Meghana Foods Grand,Marathahalli,4.2,3334,600.0,Yes,No,Casual Dining,Biryani,High-End
Murli,Bellandur,3.9,1233,500.0,Yes,No,Casual Dining,North Indian,High-End
Barbeque Delight,Sarjapur Road,3.8,188,800.0,Yes,Yes,Casual Dining,Arabian,Luxury
Basmati Restaurant,Bellandur,3.8,419,900.0,Yes,No,Casual Dining,Biryani,Luxury
Empire Restaurant,Bellandur,3.8,2084,750.0,Yes,No,Casual Dining,North Indian,Luxury
Reddy's Restaurant,Sarjapur Road,3.6,34,500.0,Yes,No,Casual Dining,Andhra,High-End
Hyderabad Biryaani House,Marathahalli,3.7,833,550.0,Yes,No,Casual Dining,Biryani,High-End
Sukhi Bhava,Marathahalli,3.6,21,300.0,Yes,No,Quick Bites,Andhra,Budget
Kanti Sweets,Bellandur,4.0,152,400.0,Yes,No,Sweet Shop,Mithai,Medium
Fun Kitchen,HSR,3.8,87,400.0,Yes,No,Quick Bites,North Indian,Medium
Hyderabadi Biryani Hub,Sarjapur Road,3.5,45,600.0,Yes,No,Quick Bites,Biryani,High-End
Moriz Restaurant,Marathahalli,2.9,666,800.0,Yes,No,Casual Dining,Arabian,Luxury
Polar Bear,Marathahalli,3.9,105,400.0,Yes,No,Dessert Parlor,Ice Cream,Medium
Blueberry Restaurant,Bellandur,3.7,36,400.0,Yes,No,Quick Bites,North Indian,Medium
Biryani Kitchen,Bellandur,3.9,214,400.0,Yes,No,Quick Bites,Biryani,Medium
Udupi Aatithya,Bellandur,4.0,77,300.0,Yes,No,Quick Bites,South Indian,Budget
Pepperwood,Sarjapur Road,3.8,132,300.0,Yes,No,Quick Bites,Biryani,Budget
NY Pizza And Waffles,Sarjapur Road,,0,300.0,Yes,No,Quick Bites,Pizza,Budget
Biriyani House,Bellandur,3.6,27,400.0,Yes,No,Casual Dining,Biryani,Medium
Punjabi Khana,Bellandur,3.0,12,500.0,Yes,No,Quick Bites,North Indian,High-End
Al Daaz,HSR,4.2,567,550.0,Yes,No,Casual Dining,North Indian,High-End
Mojo Pizza - 2X Toppings,Bellandur,4.1,164,600.0,Yes,No,"Takeaway, Delivery",Pizza,High-End
Chai Point,HSR,4.0,316,250.0,Yes,No,"Beverage Shop, Quick Bites",Tea,Budget
Onesta,HSR,4.4,3738,600.0,Yes,Yes,"Casual Dining, Cafe",Pizza,High-End
Bihar Ki Shan,HSR,3.9,343,300.0,Yes,No,Quick Bites,North Indian,Budget
Sai Santhi Cafe,Marathahalli,3.8,62,400.0,Yes,No,Casual Dining,South Indian,Medium
Sri Vishnu Veg,Marathahalli,3.5,11,200.0,Yes,No,Quick Bites,South Indian,Budget
Shudh,Sarjapur Road,4.1,87,300.0,Yes,No,Delivery,North Indian,Budget
Biryani Miya,Sarjapur Road,3.8,44,600.0,Yes,No,Delivery,Biryani,High-End
Mani's Dum Biryani,Bellandur,4.0,894,750.0,Yes,No,Casual Dining,Biryani,Luxury
Sri Vishnu Grand & Garden Restaurant,Sarjapur Road,3.8,7,500.0,Yes,No,Quick Bites,South Indian,High-End
Hyderabadi Bawarchi Biriyani,Bellandur,,0,450.0,Yes,No,Casual Dining,Biryani,High-End
Donne Biriyani House,Sarjapur Road,3.2,126,300.0,Yes,No,Quick Bites,Biryani,Budget
Potful,Sarjapur Road,3.8,832,650.0,Yes,No,Delivery,Biryani,High-End
Bahar Cafe,Marathahalli,4.0,903,750.0,Yes,Yes,Casual Dining,Andhra,Luxury
Subway,Marathahalli,3.7,38,600.0,Yes,No,Quick Bites,Salad,High-End
KFC,Sarjapur Road,3.2,380,450.0,Yes,No,Quick Bites,Burger,High-End
DinePost9,Marathahalli,3.8,798,450.0,Yes,No,Delivery,North Indian,High-End
Thalassery Restaurant,Bellandur,3.4,692,600.0,Yes,No,Casual Dining,Seafood,High-End
Sri Vishnu Grand,Sarjapur Road,3.8,135,400.0,Yes,No,Casual Dining,South Indian,Medium
Paradise,Sarjapur Road,,0,600.0,Yes,No,Delivery,Biryani,High-End
Bathinda Dine,Bellandur,4.0,230,950.0,Yes,No,Casual Dining,North Indian,Luxury
WOW! Momo,Marathahalli,3.5,79,400.0,Yes,No,Quick Bites,Chinese,Medium
Behrouz Biryani,Sarjapur Road,4.0,357,650.0,Yes,No,Delivery,Biryani,High-End
Sri Krishna Kitchen,Bellandur,3.6,22,350.0,Yes,No,Quick Bites,North Indian,Medium
Maa Bhook Lagi,HSR,4.1,152,400.0,Yes,No,Delivery,North Indian,Medium
Cake Town Cafe,Bellandur,3.9,75,500.0,Yes,No,"Bakery, Dessert Parlor",Bakery,High-End
Kairali Restaurant,Bellandur,3.9,94,200.0,Yes,No,Quick Bites,Kerala,Budget
Basaveshwara Khanavali,Sarjapur Road,3.6,11,150.0,Yes,No,Quick Bites,South Indian,Budget
Punjabi Food Point,Bellandur,3.3,200,450.0,Yes,No,Quick Bites,North Indian,High-End
Punjabi Tadka,HSR,2.8,188,400.0,Yes,No,Casual Dining,North Indian,Medium
Costa Biryanis,East Bangalore,3.3,10,300.0,Yes,No,Delivery,Andhra,Budget
Sri Udupi Park,Marathahalli,3.1,226,500.0,Yes,No,Casual Dining,South Indian,High-End
Pizza Hut,Bellandur,2.8,105,600.0,Yes,No,Quick Bites,Pizza,High-End
The Punjabi Rasoi,Sarjapur Road,3.7,194,800.0,Yes,Yes,Casual Dining,North Indian,Luxury
Punjab Di Shaan,HSR,3.0,38,450.0,Yes,No,Casual Dining,North Indian,High-End
Punjabi Nukkad Pure Veg,Bellandur,3.5,378,500.0,Yes,No,Quick Bites,North Indian,High-End
Atithi Sambrama,Sarjapur Road,3.9,69,200.0,Yes,No,Quick Bites,South Indian,Budget
